"","lambda0","lambda1","mu0","mu1","q01","q10"
"154",0.157575933165274,0.0713359737391988,0.00440902567137208,0.00456242775767372,0.0431328009448016,0.000621197160039089
"155",0.1830954393323,0.0959228072283117,0.0592118437157585,0.0257884356014892,0.0157029094802833,0.000911683658464502
"156",0.146008303536738,0.0766933810442648,0.060339310010976,0.0133610367886962,0.033820107640287,0.00216915262305567
"157",0.193326967355482,0.079872120627756,0.0620336393289296,0.0113799853349165,0.0223752217396979,0.00410142766426339
"158",0.1817440708322,0.066845431742048,0.0851100575123079,0.0162159477134138,0.0220024243842005,0.000129441903664314
"159",0.178485838087209,0.0971213119755286,0.0252980778728794,0.0256890304979398,0.0373120180607634,0.00397097741903238
"160",0.141346123798174,0.0723542659617919,0.0386642810667631,0.0461299999349292,0.0332225283043981,0.00147550827681965
"161",0.149778774157483,0.131694139549505,0.0281903531197924,0.034712702060726,0.035956606406412,0.00139790099640042
"162",0.142790685070341,0.0861213023013857,0.0315056456500957,0.00647830963038381,0.0184165216329696,0.000715106911941039
"163",0.185660269366114,0.0881892763021638,0.0972974507646357,0.000420048018483686,0.0152378257408058,0.000205641746937587
"164",0.189309041348452,0.0768369243991737,0.12170669376076,0.00491024565265336,0.0195124481451898,1.28848127807091e-05
"165",0.22140698002127,0.0864912444685329,0.0881602082135846,0.0118744399268057,0.0208591303876614,0.00171558157091232
"166",0.149793218502989,0.0971520426815267,0.0293474620392615,0.0181178028691606,0.039237026808255,0.0077599124522561
"167",0.151325004456998,0.0863843946011493,0.0238698810887013,0.022843713655097,0.0307857526707839,0.0077353445645596
"168",0.147653466264315,0.0693109301841485,0.0584579169094842,0.0384193454400103,0.0312805841195968,0.0100576864669857
"169",0.204721975132789,0.0920552568724275,0.0308789500610028,0.0393710141267014,0.0552322005513629,0.00396491047673938
"170",0.16720089950058,0.0863666500651308,0.0236221643925327,0.0592926636396921,0.0273781853581182,0.00423188405673349
"171",0.163306125318063,0.126462717847592,0.0194290431890427,0.0307163799557713,0.0432065661502444,0.003214191523247
"172",0.165868779342995,0.0643776364681113,0.00421575013780272,0.0283504775712533,0.0413674691241249,0.0072191894258048
"173",0.180802506935126,0.0969062530118759,0.0548575331142744,0.0438813521658738,0.0195886538168733,0.00501685543018325
"174",0.206568222739248,0.116642522016403,0.153877932031809,0.035471303089387,0.0241942524726187,0.00110002707082881
"175",0.198989359969929,0.102270470287287,0.0793572151029403,0.00428827663376143,0.0218363817104395,0.00525135250764397
"176",0.170950692080795,0.0623338723910176,0.0215661127465743,0.00204529886727497,0.0361033314202002,0.0054470667681856
"177",0.159125856447166,0.103463207393125,0.0252989871763994,0.0152527160424072,0.0600301140233257,0.00635540844142109
"178",0.174994221677438,0.0758742022732699,0.0642667472921012,0.00857779020310006,0.0231105035185832,0.00270539346048939
"179",0.172690309307236,0.085891892595284,0.0723531971775635,0.00713445379771098,0.0307151465120085,0.00808305771269011
"180",0.173973275600634,0.089431927157253,0.0436255792910583,0.0623135838654994,0.0252045391260138,0.000139256464971145
"181",0.176382175148026,0.0897024295055505,0.0563189992923966,0.0345125216460912,0.0272584467832612,0.00895229987396879
"182",0.154661233612616,0.0880871308530478,0.0825937736850403,0.0300634429561458,0.0291417427600639,0.00677533417771844
"183",0.158536806047486,0.0801606531705494,0.00584317945707005,0.015628719645597,0.0139828807554533,0.0129436943291296
"184",0.195466192085457,0.0822286645477223,0.128480503208057,0.00117585405390892,0.0189040628579173,0.0109428111418492
"185",0.245979600279363,0.0676860382695482,0.0169875391338928,0.00289562960801802,0.0342195762986031,0.0167727201160482
"186",0.252429829026992,0.0908390297762749,0.157090825733053,0.00116810814498668,0.00815607492808624,0.0124213486422822
"187",0.248462579395267,0.066994105016245,0.0558259052697926,0.00162008800677542,0.0453175164498823,0.00913977821331087
"188",0.254328355296506,0.0817930615561098,0.138185829189754,0.00529346547659741,0.025531616427465,0.000267063092250987
"189",0.225179829082746,0.0950568719342018,0.113644001717287,0.0214948188391543,0.0207108213452314,0.00451246010600214
"190",0.182372027009845,0.0671193414129533,0.124122362454985,0.0122759713406559,0.0203649776717665,0.00272308624481265
"191",0.212080735485851,0.0804604081356141,0.140829596834773,0.00618983561321518,0.0126053551896187,0.00483209001821373
"192",0.186392347595196,0.0743131709888417,0.0848323934385425,0.00423794367933587,0.0152117447039689,0.00450131661085214
"193",0.187907147731004,0.0947701505867818,0.0944644381029371,0.00799418508246629,0.0339270975264656,0.00429559673586144
"194",0.178729993742157,0.0815891013051002,0.00270487367839972,0.0209040882232197,0.0515999078947379,0.00385365942356137
"195",0.177154424495494,0.0814400955989244,0.0914628489481947,0.00708691609957974,0.0168285831178748,0.00279034889199436
"196",0.195448300185733,0.112644326477629,0.108899234458344,0.0381890795572042,0.0207717215730581,0.000848218040343602
"197",0.151739551188657,0.0871760465717679,0.00779438849724256,0.0205682471757015,0.0720862471641662,0.00377329231404779
"198",0.151161009676179,0.0552090383219499,0.0206820433543581,0.000450102887049437,0.0255941583461415,0.00678005220080887
"199",0.181111221652001,0.0611625590054449,0.0170902340318048,0.00335546448368029,0.0377301492910908,0.00493217985365511
"200",0.181409539383321,0.0642205208430097,0.107550792343256,0.0102769915772093,0.0290004684341747,0.00843914732590641
"201",0.159770202505509,0.0960478680639326,0.0284666821122234,0.0517265664602175,0.0300206580086704,0.00234563147678115
"202",0.158226991312796,0.102143780419607,0.0231742104021301,0.0188200480892829,0.0324960938271809,0.000466728969083602
"203",0.160400772676156,0.0770594833217258,0.021105108281809,0.0180255779129585,0.0221942097496352,0.0016226419222013
"204",0.148101311187192,0.0870133606148438,0.0529569410427077,0.00203197336453299,0.0152782013502772,0.00340875508334214
"205",0.158565158465653,0.0813638145695851,0.0389165431026426,0.0170583359159138,0.0396750858240073,0.000627044161528549
"206",0.148646702553188,0.0670595895425836,0.000169571469235868,0.0261114680887645,0.0427820948116742,0.000157494381306607
"207",0.126362129264308,0.106370571810743,0.026903706870632,0.0401486987807084,0.018853300269188,0.0004418959109738
"208",0.14536829572623,0.100301972447293,0.0555679509231348,0.00414167037411248,0.0276634817283401,0.000909985869900119
